,0
0,age
1,balance
2,duration
3,campaign
4,pdays
5,job_blue-collar
6,job_entrepreneur
7,job_housemaid
8,job_management
9,job_retired
10,job_self-employed
11,job_services
12,job_student
13,job_technician
14,job_unemployed
15,job_unknown
16,marital_married
17,marital_single
18,education_secondary
19,education_tertiary
20,education_unknown
21,housing_yes
22,loan_yes
23,contact_telephone
24,contact_unknown
25,month_aug
26,month_dec
27,month_feb
28,month_jan
29,month_jul
30,month_jun
31,month_mar
32,month_may
33,month_nov
34,month_oct
35,month_sep
36,poutcome_other
37,poutcome_success
38,poutcome_unknown
