Index,dt,customer_type,trigger_type,n_triggered
0,01/07/22,1,scheduled,6744
1,01/07/22,0,scheduled,6983
2,01/07/22,2,scheduled,1327
3,01/07/22,3,scheduled,40
96,02/07/22,1,scheduled,6309
97,02/07/22,0,scheduled,6614
98,02/07/22,2,scheduled,1332
99,02/07/22,3,scheduled,40
192,03/07/22,1,scheduled,5890
193,03/07/22,0,scheduled,6294
194,03/07/22,2,scheduled,1247
195,03/07/22,3,scheduled,35
288,04/07/22,1,scheduled,5758
289,04/07/22,0,scheduled,5681
290,04/07/22,2,scheduled,1159
291,04/07/22,3,scheduled,35
384,05/07/22,1,scheduled,6526
385,05/07/22,0,scheduled,5730
386,05/07/22,2,scheduled,1216
387,05/07/22,3,scheduled,32
480,06/07/22,1,scheduled,6684
481,06/07/22,0,scheduled,6758
482,06/07/22,2,scheduled,1311
483,06/07/22,3,scheduled,34
576,07/07/22,1,scheduled,6467
577,07/07/22,0,scheduled,6639
578,07/07/22,2,scheduled,1163
579,07/07/22,3,scheduled,34
672,08/07/22,1,scheduled,6947
673,08/07/22,0,scheduled,6529
674,08/07/22,2,scheduled,1274
675,08/07/22,3,scheduled,36
768,09/07/22,1,scheduled,6671
769,09/07/22,0,scheduled,6836
770,09/07/22,2,scheduled,1212
771,09/07/22,3,scheduled,38
864,10/07/22,1,scheduled,7001
865,10/07/22,0,scheduled,6555
866,10/07/22,2,scheduled,1317
867,10/07/22,3,scheduled,36
960,11/07/22,1,scheduled,7173
961,11/07/22,0,scheduled,6924
962,11/07/22,2,scheduled,1244
963,11/07/22,3,scheduled,38
1056,12/07/22,1,scheduled,7342
1057,12/07/22,0,scheduled,6956
1058,12/07/22,2,scheduled,1310
1059,12/07/22,3,scheduled,42
1152,13/07/22,1,scheduled,7024
1153,13/07/22,0,scheduled,7076
1154,13/07/22,2,scheduled,1297
1155,13/07/22,3,scheduled,46
1248,14/07/22,1,scheduled,6957
1249,14/07/22,0,scheduled,7020
1250,14/07/22,2,scheduled,1218
1251,14/07/22,3,scheduled,44
1344,15/07/22,1,scheduled,7026
1345,15/07/22,0,scheduled,7016
1346,15/07/22,2,scheduled,1209
1347,15/07/22,3,scheduled,41
1440,16/07/22,1,scheduled,7184
1441,16/07/22,0,scheduled,7506
1442,16/07/22,2,scheduled,1293
1443,16/07/22,3,scheduled,45
1536,17/07/22,1,scheduled,7750
1537,17/07/22,0,scheduled,7682
1538,17/07/22,2,scheduled,1275
1539,17/07/22,3,scheduled,43
1632,18/07/22,1,scheduled,7267
1633,18/07/22,0,scheduled,6956
1634,18/07/22,2,scheduled,1279
1635,18/07/22,3,scheduled,43
1728,19/07/22,1,scheduled,7358
1729,19/07/22,0,scheduled,8000
1730,19/07/22,2,scheduled,1419
1731,19/07/22,3,scheduled,41
1824,20/07/22,1,scheduled,7593
1825,20/07/22,0,scheduled,7565
1826,20/07/22,2,scheduled,1348
1827,20/07/22,3,scheduled,44
1920,21/07/22,1,scheduled,7370
1921,21/07/22,0,scheduled,7156
1922,21/07/22,2,scheduled,1323
1923,21/07/22,3,scheduled,47
2016,22/07/22,1,scheduled,7189
2017,22/07/22,0,scheduled,7159
2018,22/07/22,2,scheduled,1320
2019,22/07/22,3,scheduled,45
2112,23/07/22,1,scheduled,6993
2113,23/07/22,0,scheduled,7340
2114,23/07/22,2,scheduled,1274
2115,23/07/22,3,scheduled,43
2208,24/07/22,1,scheduled,6526
2209,24/07/22,0,scheduled,6672
2210,24/07/22,2,scheduled,1235
2211,24/07/22,3,scheduled,39
2304,25/07/22,1,scheduled,6611
2305,25/07/22,0,scheduled,6820
2306,25/07/22,2,scheduled,1219
2307,25/07/22,3,scheduled,45
2400,26/07/22,1,scheduled,7476
2401,26/07/22,0,scheduled,7209
2402,26/07/22,2,scheduled,1274
2403,26/07/22,3,scheduled,33
2496,27/07/22,1,scheduled,7269
2497,27/07/22,0,scheduled,7386
2498,27/07/22,2,scheduled,1348
2499,27/07/22,3,scheduled,41
2592,28/07/22,1,scheduled,7468
2593,28/07/22,0,scheduled,6804
2594,28/07/22,2,scheduled,1257
2595,28/07/22,3,scheduled,39
2688,29/07/22,1,scheduled,7512
2689,29/07/22,0,scheduled,7522
2690,29/07/22,2,scheduled,1287
2691,29/07/22,3,scheduled,45
2784,30/07/22,1,scheduled,7256
2785,30/07/22,0,scheduled,7018
2786,30/07/22,2,scheduled,1271
2787,30/07/22,3,scheduled,39
2880,31/07/22,1,scheduled,6984
2881,31/07/22,0,scheduled,7303
2882,31/07/22,2,scheduled,1335
2883,31/07/22,3,scheduled,39
2976,01/08/22,1,scheduled,6609
2977,01/08/22,0,scheduled,7126
2978,01/08/22,2,scheduled,1358
2979,01/08/22,3,scheduled,31
3072,02/08/22,1,scheduled,7130
3073,02/08/22,0,scheduled,7515
3074,02/08/22,2,scheduled,1377
3075,02/08/22,3,scheduled,36
3168,03/08/22,1,scheduled,7939
3169,03/08/22,0,scheduled,7154
3170,03/08/22,2,scheduled,1396
3171,03/08/22,3,scheduled,40
3264,04/08/22,1,scheduled,7937
3265,04/08/22,0,scheduled,8111
3266,04/08/22,2,scheduled,1427
3267,04/08/22,3,scheduled,45
3360,05/08/22,1,scheduled,7274
3361,05/08/22,0,scheduled,7474
3362,05/08/22,2,scheduled,1346
3363,05/08/22,3,scheduled,32
3456,06/08/22,1,scheduled,7298
3457,06/08/22,0,scheduled,7152
3458,06/08/22,2,scheduled,1534
3459,06/08/22,3,scheduled,33
3552,07/08/22,1,scheduled,6485
3553,07/08/22,0,scheduled,7028
3554,07/08/22,2,scheduled,1385
3555,07/08/22,3,scheduled,36
3648,08/08/22,1,scheduled,6536
3649,08/08/22,0,scheduled,7596
3650,08/08/22,2,scheduled,1376
3651,08/08/22,3,scheduled,38
3744,09/08/22,1,scheduled,7010
3745,09/08/22,0,scheduled,7878
3746,09/08/22,2,scheduled,1485
3747,09/08/22,3,scheduled,39
3840,10/08/22,1,scheduled,6694
3841,10/08/22,0,scheduled,7864
3842,10/08/22,2,scheduled,1606
3843,10/08/22,3,scheduled,40
3936,11/08/22,1,scheduled,7045
3937,11/08/22,0,scheduled,8102
3938,11/08/22,2,scheduled,1523
3939,11/08/22,3,scheduled,39
4032,12/08/22,1,scheduled,6981
4033,12/08/22,0,scheduled,7762
4034,12/08/22,2,scheduled,1472
4035,12/08/22,3,scheduled,40
4128,13/08/22,1,scheduled,6757
4129,13/08/22,0,scheduled,7498
4130,13/08/22,2,scheduled,1648
4131,13/08/22,3,scheduled,41
4224,14/08/22,1,scheduled,6594
4225,14/08/22,0,scheduled,7334
4226,14/08/22,2,scheduled,1464
4227,14/08/22,3,scheduled,38
4320,15/08/22,1,scheduled,6715
4321,15/08/22,0,scheduled,7550
4322,15/08/22,2,scheduled,1547
4323,15/08/22,3,scheduled,40
4416,16/08/22,1,scheduled,7112
4417,16/08/22,0,scheduled,7880
4418,16/08/22,2,scheduled,1446
4419,16/08/22,3,scheduled,37
4512,17/08/22,1,scheduled,8020
4513,17/08/22,0,scheduled,7667
4514,17/08/22,2,scheduled,1413
4515,17/08/22,3,scheduled,43
4608,18/08/22,1,scheduled,7731
