,Synopsis
0,"THE HUNTERS return in their third brilliant novel from the Sunday Times Top Ten bestselling author Chris Kuzneski, whose writing James Patterson says has 'raw power'. The team are hunting Marco Polo's hidden treasure, but who is on their tail?
THE HUNTERS
If you seek, they will find...

The travels of Marco Polo are known throughout the world.
But what if his story isn't complete?
What if his greatest adventure has yet to be discovered?
Guided by a journal believed to have been dictated by Polo himself,
the Hunters set out in search of his final legacy:
the mythical treasure gathered during Polo's lifetime of exploration.
But as every ancient clue brings them closer to the truth,
each new step puts them in increasing danger...
Explosive action. Killer characters. Classic Kuzneski."
1,"A layered portrait of a troubled genius for whom art was not merely a thing of beauty but a vital part of living itself.
Selling Points: The original Marathi book won the National Award for Best Book on Cinema (in 1986), now available for the first time in English.
The Book: Guru Dutt is now named along with the masters of world cinema—like Orson Welles, Mizoguchi, Hitchcock, Jancso, Ophuls—for his innovative cinematic form and his deep humanism and compassion. In Guru Dutt: A Tragedy in Three Acts, renowned film-maker and scholar Arun Khopkar sheds new light on Dutt’s genius through a close examination of Dutt’s three best-known films—Pyaasa, Kaagaz Ke Phool and Sahib Biwi Aur Ghulam. With a nuanced eye, Khopkar explores the historical context which influenced Dutt’s deeply melancholic style while also analyzing the intricacies of the medium—acting, lighting, music, editing, rhythm—that Dutt carefully deployed to create his masterpieces. Originally written in Marathi, this exquisite English translation paints a layered portrait of a troubled genius for whom art was not merely a thing of beauty but a vital part of living itself."
2,"""During the time men live without a common Power to keep them all in awe, they are in that condition which is called Warre""

Written during the turmoil of the English Civil War, Leviathan is an ambitious and highly original work of political philosophy. Claiming that man's essential nature is competitive and selfish, Hobbes formulates the case for a powerful sovereign—or ""Leviathan""—to enforce peace and the law, substituting security for the anarchic freedom he believed human beings would otherwise experience. This worldview shocked many of Hobbes's contemporaries, and his work was publicly burnt for sedition and blasphemy when it was first published. But in his rejection of Aristotle's view of man as a naturally social being, and in his painstaking analysis of the ways in which society can and should function, Hobbes opened up a whole new world of political science.

Based on the original 1651 text, this edition incorporates Hobbes's own corrections, while also retaining the original spelling and punctuation, to read with vividness and clarity. C. B. Macpherson's introduction elucidates one of the most fascinating works of modern philosophy for the general reader.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
3,"A handful of grain is found in the pocket of a murdered businessman…

Rex Fortescue, king of a financial empire, was sipping tea in his ‘counting house’ when he suffered an agonising and sudden death. On later inspection, the pockets of the deceased were found to contain traces of cereals.

Yet, it was the incident in the parlour which confirmed Jane Marple’s suspicion that here she was looking at a case of crime by rhyme…"
4,"For seven decades, ""Life"" has been thrilling the world with its unrivalled presentation of the very best photography to be found. Here, the editors have assembled the creme de la creme from the magazine's vast collection of images. Because ""Life"" has always dealt with matters of every sort, the entire spectrum of society is represented in these pages. One after another, there are unforgettable photos from Hollywood's greatest stars, from the wonders of small-town America, from the terrible wars, as well as from the zestful years of childhood. ""Life"" has always represented the apex in photojournalism and its roster of great photographers is unequalled."
5,"The revised edition of the bestselling ChiRunning, a groundbreaking program from ultra-marathoner and nationally-known coach Danny Dreyer, that teaches you how to run faster and farther with less effort, and to prevent and heal injuries for runners of any age or fitness level.

In ChiRunning, Danny and Katherine Dreyer, well-known walking and running coaches, provide powerful insight that transforms running from a high-injury sport to a body-friendly, injury-free fitness phenomenon. ChiRunning employs the deep power reserves in the core muscles, an approach found in disciplines such as yoga, Pilates, and T’ai Chi.

ChiRunning enables you to develop a personalized exercise program by blending running with the powerful mind-body principles of T’ai Chi:

1. Get aligned. Develop great posture and reduce your potential for injury while running, and make knee pain and shin splints a thing of the past.

2. Engage your core. Shift the workload from your leg muscles to your core muscles, for efficiency and speed.

3. Add relaxation to your running. Learn to focus your mind and relax your body to increase speed and distance.

4. Make it a Mindful Practice. Maintain high performance and make running a mindful, enjoyable life-long practice.

5. It’s easy to learn. Transform your running with the ten-step ChiRunning training program."
6,"Agatha Christie’s most exotic murder mystery

The tranquillity of a cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot through the head. She was young, stylish and beautiful, a girl who had everything – until she lost her life.

Hercule Poirot recalls an earlier outburst by a fellow passenger: ‘I’d like to put my dear little pistol against her head and just press the trigger.’ Yet in this exotic setting’ nothing is ever quite what it seems…"
7,"Achieve a healthy body, mental alertness, and inner serenity through the practice of hatha yoga.
Combining step-by-step asanas, detailed illustrations, programmes, mindfulness techniques, diet advice, and recipes, Yoga: Your Home Practice Companion is the complete practice and lifestyle guide for students of all abilities.
Master breathing and mindfulness techniques to recharge your energy levels and combat stress. Embrace a healthier more yogic way of eating with diet advice and more than 40 nutritious plant-based recipes. Written by the experts from the world-renowned Sivananda Yoga Vedana Centres, Yoga: Your Home Practice Companion has everything you need in one complete package."
8,"Karmayogi is the dramatic and inspiring story of E. Sreedharan, the much-admired engineer and technocrat who won accolades for finishing the Delhi Metro project within budget and on time, in the face of severe constraints. Known for his efficiency and discipline and regarded the world over for his productivity standards, Sreedharan has, surprisingly, never spent more than the eight-hour workday in office. This fascinating book looks back on an extraordinary career full of sterling achievements-Sreedharan's years with the Railways, the building of the Kolkata Metro and the Konkan Railway, followed by the Delhi Metro, and the many metro projects he is involved with now. Translated from a bestselling biography in Malayalam, this is the uplifting story of a very private person who has become an icon of modern India because of his uncompromising work ethic."
9,"‘This is the original game of thrones’ George R.R. Martin
From the publishers that brought you A Game of Thrones comes the series that inspired George R.R. Martin’s epic work.
“Accursed! Accursed! You shall be accursed to the thirteenth generation!”
The Iron King – Philip the Fair – is as cold and silent, as handsome and unblinking as a statue. He governs his realm with an iron hand, but he cannot rule his own family: his sons are weak and their wives adulterous; while his red-blooded daughter Isabella is unhappily married to an English king who prefers the company of men.
A web of scandal, murder and intrigue is weaving itself around the Iron King; but his downfall will come from an unexpected quarter. Bent on the persecution of the rich and powerful Knights Templar, Philip sentences Grand Master Jacques Molay to be burned at the stake, thus drawing down upon himself a curse that will destroy his entire dynasty…"
